,Document/Program/Project Title,Document/Project Date,Action,Document Lead Authors/Project Contact,FP&M Department,Academic/Research/UW Divisions 1,Academic/Research/UW Divisions 2,Academic/Research/UW Divisions 3,Student Organization 1,Student Organization 2,Student Organization 3,Number of Student Participants/yr/class,Total Students Participants,Document Name (if applicable),Document Type,Partnership Type,
,School of Human Ecology Site Studies,,,"Dan Okoli (FPM)\, UW-Milwaukee SARUP",FP&M Capital Planning and Development,Landscape Architecture,,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Recently Completed LEED Projects,Jan-14,Overview of recently contructed LEED certified buildings on the UW-Madison campus.,"Kaufmann\, Dan Okoli (FPM)",FP&M Capital Planning and Development,,,,,,,,,NoLEED-FPM Overview -Kauffman2014-web pt2.pdf,Program Review,F,
,Department of Art Building Site Studies,,,"Dan Okoli (FPM)\, UW-Milwaukee SARUP
UW-Madison Prof. James Steiner
Dept of Landscape Architectute",FP&M Capital Planning and Development,Landscape Architecture,,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Horse Barn Remodel Study - Civil Engineering Capstone 578,Fall 2009 - Spring 2010,Capstone course study of restoration opportunities for the historic Horse Barn on the UW campus. ,"Charles Quagliana\, Dan Okoli (FPM)",FP&M Capital Planning and Development,Engineering ,,,,,,,10,,Personal Communication,FA,
,School of Human Ecology Building Study - Civil Engineering Capstone 578,Fall 2010,Capstone course study of addition plans for SOHE Building.,"Charles Quagliana\, Dan Okoli (FPM)",FP&M Capital Planning and Development,Engineering ,,,,,,,10,,Personal Communication,FA,
,New Art Building - Civil Engineering Capstone 578,Fall 2009,Capstone course study for new art building.,"Charles Quagliana\, Dan Okoli (FPM)",FP&M Capital Planning and Development,Engineering ,,,,,,,10,,Personal Communication,FA,
,Water Science Building Study - Civil Engineering Capstone 578,Spring 2008,Capstone course study for rennovation of Water Science Building.,"Charles Quagliana\, Dan Okoli (FPM)",FP&M Capital Planning and Development,Engineering ,,,,,,,5,,Personal Communication,FA,
,Witte Hall Building Study - Civil Engineering Capstone 578,Fall 2012,Capstone course study  for rennovation of Witte Hall.,"Charles Quagliana\, Dan Okoli (FPM)",FP&M Capital Planning and Development,Engineering ,,,,,,,5,,Personal Communication,FA,
,Selery Hall Building Study - Civil Engineering Capstone 578,Fall 2013,Capstone course study  for rennovation of Selery Hall.,"Charles Quagliana\, Dan Okoli (FPM)",FP&M Capital Planning and Development,Engineering ,,,,,,,5,,Personal Communication,FA,
,Observatory Hill Stromwater Study - Civil Engineering Capstone 578,Spring 2015,Capstone course study for stormwater BMPs on Observatory Hill.,Dan Okoli (FPM),FP&M Capital Planning and Development,Engineering ,,,,,,,10,,Personal Communication,FA,
,UW Builds Green Program,,A commitment to the pursuit of LEED Silver for most new and remodeled buildings on campus and the commitment to sustainability in design and construction for other projects.,"Charles Quagliana\, Dan Okoli (FPM)",FP&M Capital Planning and Development,,,,,,,,,,,F,
,Lakeshore Nature Preserve Volunteer Program ,1/23/15,"The goal of the Preserve volunteer program is to engage student and community volunteers in a variety of natural areas management and ecological restoration activities in a meaningful way for the volunteer while accomplishing work set out in the work plan. From 2010-2015\, the Preserve has enlisted 3005 volunteers and  15\,501 volunteer hours.","Bryn Scriver (FPM)\, ",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,,,PreserveVolunteerHours.docx,Program Review,FS,
,Controlling Urban Stormwater at the University of Wisconsin-Madison,1/1/08,"Presentation about campus storm water management given in 2008. Numerous recommendations of an engineering firm for more detention basins\, porous concrete/asphalt\, and greenroofs. Many have been implemented by 2015.",Gary Brown (FPM),FP&M Campus Planning and Landscape Architecture,,,,,,,,,Stormwater BMP Summary.pdf,Presentation,F,
,Lakeshore Nature Preserve Student Engagement Grants,1/1/15,"The broad purpose of these grants is to facilitate use of the Lakeshore Nature Preserve as a resource for education among UW undergraduates.  Fund are used for purchase of equipment\, supplies\, etc.\, related to specific projects in the Preserve and for student stipends. Funding made possible through the generous support from the Academic Endowment Fund of the Lakeshore Nature Preserve. Funded projects contribute to the collection of data related the Preserve and its use by humans. ",Laura Wyatt (FPM),FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,,,StudentEngagementGrant_2015_final.pdf,Program Review,FAS,
,Campus Ecology Research Project,1/1/92,"With funding support from the Center for Biology Education\, the Campus Ecology Research Project coordinated student\, FPM\, and facility manager research collaborations that explored alternative approaches for campus environmental management.  Initiatives included: transportation demand management\, recycling\, water and energy conservation. Project was from 1992 to 1996.",Daniel Einstein,FP&M Campus Planning and Landscape Architecture,,,,,,,,,CPLA Academic Coordination Report.xlsx,Spreadsheet,FA,
,Solid Waste Alternatives Project (SWAP),1/1/93,"This SWAP project developed a model for diverting campus surplus equipment and materials (e.g.\, computers\, office furniture\, pallets\, etc.) from landfill disposal. Recycled content office supplies (copy paper\, folders\, notepads\, etc.) were promoted with the preparation of specialized marketing materials and office presentations.  At the conclusion of the pilot\, several students were hired to permanently establish this program within the Division of Business Services.  The program received 1993 Governor’s Waste Reduction and Recycling Award.",Daniel Einstein,FP&M Campus Planning and Landscape Architecture,,,,,,,,,CPLA Academic Coordination Report.xlsx,Spreadsheet,F,
,Science Hall Alternatives Practices for Environment (SHAPE),1/1/96,"This Wisconsin Department of Administration funded project provided research and program implementation opportunities for five student staff working on environmentally responsible facility management initiatives in a single academic building--Science Hall.  Activities included: energy and water conservation\, recycling\, and waste/hazardous materials management.  Electricity and water meters were installed in public areas as part of effort to increase awareness of building consumption patterns.   The meters continue to provide data nearly 20 years later.",Daniel Einstein,FP&M Campus Planning and Landscape Architecture,,,,,,,,,CPLA Academic Coordination Report.xlsx,Spreadsheet,F,
,Greening the Campus,1/1/00,"Students engaged in a variety of research projects examining campus environmental issues: recycling\, energy\, water conservation\, transportation\, etc.  Students prepared recommendations for FPM consideration. Students prepared an on-line directory of websites created by national programs (government\, private sector\, academic institutions) that addressed environmental management initiatives.  ",Daniel Einstein,FP&M Campus Planning and Landscape Architecture,,,,,,,,,CPLA Academic Coordination Report.xlsx,Spreadsheet,FS,
,Cultural Landscape Seminar,3/1/14,"Presentation to seminar on campus cultural landscapes\, especially as relates to Native American sites.","Daniel Einstein\, Aaron Bird Bear (lecturer)",FP&M Campus Planning and Landscape Architecture,,,,,,,,,CPLA Academic Coordination Report.xlsx,Spreadsheet,FA,
,LaBASH (landscape architecture student national conference),3/1/14,"Tours of Lakeshore Nature Preserve with CPLA staff focused on ecological restoration\, land management of cultural landscape sites.",Daniel Einstein,FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,,,CPLA Academic Coordination Report.xlsx,Spreadsheet,FS,
